?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
2F1,0200,2F1,0000,000,0000,000,0000,0000,004,0100
2F1,0200,2F2,0200,2F1,0200,000,02F1,0000,004,0100
2F2,EE18,2F3,EE18,30B,0000,000,0018,0000,004,0100,30B,0000
2F3,AE14,2F4,AE14,308,F623,000,0014,F623,008,1000
2F4,0C00,2F5,0C00,7FF,F623,7FF,02F4,F623,008,1000,7FF,F623
2F5,D67B,67B,D67B,7FE,02F6,7FE,D67B,F623,008,1000,7FE,02F6
67B,AC01,67C,AC01,7FF,F623,7FE,0001,F623,008,1000
67C,F001,67D,F001,67C,F001,7FE,067C,F623,008,1000
67D,F304,67E,F304,67D,F304,7FE,067D,F623,008,1000
67E,6E0B,67F,6E0B,68A,F949,7FE,000B,FCDA,008,1000
67F,F201,681,F201,67F,F201,7FE,0001,FCDA,008,1000
681,4E08,682,4E08,68A,F949,7FE,0008,F623,009,1001
682,4C01,683,4C01,7FF,F623,7FE,0001,EC46,009,1001
683,4C01,684,4C01,7FF,F623,7FE,0001,E269,009,1001
684,4C01,685,4C01,7FF,F623,7FE,0001,D88C,009,1001
685,4E05,686,4E05,68B,003F,7FE,0005,D8CB,008,1000
686,CE01,688,CE01,686,0688,7FE,0001,D8CB,008,1000
688,EC01,689,EC01,7FF,D8CB,7FE,0001,D8CB,008,1000,7FF,D8CB
689,0A00,2F6,0A00,7FE,02F6,7FF,0689,D8CB,008,1000
2F6,0800,2F7,0800,7FF,D8CB,000,02F6,D8CB,008,1000
2F7,0740,2F8,0740,2F7,0740,000,02F7,D8CA,009,1001
2F8,4E12,2F9,4E12,30B,0000,000,0012,D8CA,008,1000
2F9,EE11,2FA,EE11,30B,D8CA,000,0011,D8CA,008,1000,30B,D8CA
2FA,AE0E,2FB,AE0E,309,FFE6,000,000E,FFE6,008,1000
2FB,0C00,2FC,0C00,7FF,FFE6,7FF,02FB,FFE6,008,1000,7FF,FFE6
2FC,D67B,67B,D67B,7FE,02FD,7FE,D67B,FFE6,008,1000,7FE,02FD
67B,AC01,67C,AC01,7FF,FFE6,7FE,0001,FFE6,008,1000
67C,F001,67D,F001,67C,F001,7FE,067C,FFE6,008,1000
67D,F304,67E,F304,67D,F304,7FE,067D,FFE6,008,1000
67E,6E0B,67F,6E0B,68A,F949,7FE,000B,069D,001,0001
67F,F201,680,F201,67F,F201,7FE,067F,069D,001,0001
680,CE06,687,CE06,680,0687,7FE,0006,069D,001,0001
687,AE02,688,AE02,68A,F949,7FE,0002,F949,009,1001
688,EC01,689,EC01,7FF,F949,7FE,0001,F949,009,1001,7FF,F949
689,0A00,2FD,0A00,7FE,02FD,7FF,0689,F949,009,1001
2FD,0800,2FE,0800,7FF,F949,000,02FD,F949,009,1001
2FE,4E0C,2FF,4E0C,30B,D8CA,000,000C,D213,009,1001
2FF,EE0B,300,EE0B,30B,D213,000,000B,D213,009,1001,30B,D213
300,AE09,301,AE09,30A,015B,000,0009,015B,001,0001
301,0C00,302,0C00,7FF,015B,7FF,0301,015B,001,0001,7FF,015B
302,D67B,67B,D67B,7FE,0303,7FE,D67B,015B,001,0001,7FE,0303
67B,AC01,67C,AC01,7FF,015B,7FE,0001,015B,001,0001
67C,F001,67D,F001,67C,F001,7FE,067C,015B,001,0001
67D,F304,682,F304,67D,F304,7FE,0004,015B,001,0001
682,4C01,683,4C01,7FF,015B,7FE,0001,02B6,000,0000
683,4C01,684,4C01,7FF,015B,7FE,0001,0411,000,0000
684,4C01,685,4C01,7FF,015B,7FE,0001,056C,000,0000
685,4E05,686,4E05,68B,003F,7FE,0005,05AB,000,0000
686,CE01,688,CE01,686,0688,7FE,0001,05AB,000,0000
688,EC01,689,EC01,7FF,05AB,7FE,0001,05AB,000,0000,7FF,05AB
689,0A00,303,0A00,7FE,0303,7FF,0689,05AB,000,0000
303,0800,304,0800,7FF,05AB,000,0303,05AB,000,0000
304,0740,305,0740,304,0740,000,0304,05AA,001,0001
305,4E05,306,4E05,30B,D213,000,0005,D7BD,008,1000
306,EE04,307,EE04,30B,D7BD,000,0004,D7BD,008,1000,30B,D7BD
307,0100,308,0100,307,0100,000,0307,D7BD,008,1000
308,F623,30A,FFE6,309,FFE6,000,0309,0000,084,0100
30A,015B,30B,FFE6,30A,015B,000,0309,0000,084,0100
30B,D7BD,0C3,0000,0C2,0000,7FF,00C2,0000,004,0100,7FF,030C
